Term,ID,FIRST,SEX,Student Type,PAID AMT
202001,220875187,Christopher,M,Continuing,
202001,302013326,Alec,M,Continuing,
202001,342328491,Nathaniel,M,Continuing,
202001,484887951,Scott,M,Continuing,
202001,706664788,Wesley,M,Continuing,
202001,368691551,Melissa,F,Continuing,"$2,495.00 "
202001,878370225,Gabrielle,F,Continuing,
202001,854429402,Briana,F,Continuing,
202001,438968179,Andrew,M,Continuing,
202001,370459448,Sydney,F,Continuing,
202001,716205347,Gabriel,M,Continuing,
202001,596068493,Jonathan,M,Returning,
202001,145601930,Raul,M,Continuing,
202001,131156865,Robert,M,Continuing,
202001,324613275,Seth,M,Continuing,"$1,598.00 "
202001,282146116,Maira,F,Continuing,"$1,795.00 "
202001,813447481,Sabaaha,F,Continuing,
202001,801820525,Sarah,F,Continuing,"$6,345.00 "
202001,872158741,Quiara,F,Continuing,
202001,161595664,Isaac,M,Continuing,
202001,478254978,Austin,M,Continuing,
202001,762426518,Immeena,F,Continuing,
202001,763403754,Jacob,M,Continuing,
202001,790174544,Katherine,F,Continuing,
202001,805802545,Erin,F,Continuing,"$6,345.00 "
202001,471063412,Shaqeeqa,F,Continuing,
202001,903019110,Haala,F,Continuing,
202001,663746009,Lauren,F,Continuing,
202001,900354769,Brandon,M,Continuing,
202001,349052065,Anupama,F,Continuing,
202001,212771676,Domenik,M,Continuing,
202001,177684843,Dalton,M,Continuing,
202001,267954514,Kendrick,M,Continuing,"$6,345.00 "
202001,730264862,Tianna,F,Returning,"$5,695.00 "
202001,854355525,Malakye,M,Continuing,
202001,447529675,Brandon,M,Continuing,
202001,543706732,Jayda,F,Continuing,"$3,895.00 "
202001,482951270,Kaelyn,F,Continuing,
202001,469306057,Aleeya,F,Continuing,
202001,286795801,Alexander,M,Continuing,
202001,546748484,Lauren,F,Continuing,
202001,743873999,Yaasmeena,F,Continuing,
202001,474303413,Katelyn,F,Continuing,
202001,443540953,Desiree,F,Continuing,
202001,991450934,Abbaas,M,Continuing,
202001,861978070,Christian,M,Continuing,
202001,217421411,Malik,M,Continuing,
202001,669228867,Shawna,F,Returning,
202001,711543872,John,M,Continuing,
202001,316918451,Joseph,M,Continuing,
202001,691646798,Saara,F,Continuing,
202001,308132044,Mariah,F,Continuing,
202001,239459887,Kadejah,F,Continuing,
202001,846343509,Picabo,F,Continuing,
202001,297063206,Dakota,M,Continuing,
202001,641604974,Jonathon,M,Continuing,
202001,445538319,Khadijah,F,Continuing,
202001,142790525,Kevin,M,Continuing,
202001,814045784,Aaqil,M,Continuing,
202001,553933441,Champale,F,Returning,
202001,894820769,Shengh,F,Continuing,
202001,121643446,Jari,M,Continuing,
202001,774732484,Jayda,F,Continuing,
202001,966937110,Hannah,F,Returning,
202001,492838187,Caleb,M,Continuing,
202001,449830672,Mahder,F,Continuing,
202001,307098461,Nawf,M,Continuing,
202001,290822989,Montana,M,Continuing,"$6,195.00 "
202001,505897784,Jordan,M,Continuing,
202001,554835578,Lindsey,F,Continuing,
202001,196039217,Elijah,M,Continuing,
202001,619821951,Vinh,M,Continuing,
202001,121632007,Trey,M,Continuing,"$4,395.00 "
202001,796212538,Zachary,M,Continuing,
202001,358121761,Taylor,M,Continuing,
202001,435730443,Jesus,M,Continuing,
202001,964084163,Alicia,F,Continuing,
202001,512587549,Justice,F,Continuing,"$6,345.00 "
202001,457357994,Brian,M,Continuing,
202001,811116411,Karyn,F,Continuing,
202001,214351435,Tiarra,F,Returning,
202001,131260578,Kyle,M,Continuing,"$3,395.00 "
202001,274203880,Ryan,M,Continuing,
202001,802025863,Cameron,M,Continuing,
202001,100612301,Ashley,F,Continuing,
202001,712766259,Kameron,M,Continuing,
202001,530350811,Shahaada,F,Continuing,
202001,559422195,Adel,M,Continuing,
202001,117754454,Daja,F,Continuing,"$6,345.00 "
202001,224441684,Jasmine,F,Continuing,
202001,729033333,Joann,F,Continuing,
202001,255364913,Monique,F,Continuing,
202001,161754214,Mikail,M,Continuing,"$6,345.00 "
202001,114246998,Antonio,M,Continuing,
202001,282622930,Sharaf,M,Returning,
202001,886796053,Sheldon,M,Continuing,
202001,153179056,Hunter,F,Continuing,
202001,823773526,Zachary,M,Continuing,
202001,694295229,Logan,M,Continuing,
202001,672175924,Marlena,F,Returning,
202001,968707005,Saaliha,F,Continuing,
202001,838516239,Joshua,M,Continuing,
202001,119815476,Michael,M,Continuing,
202001,891692605,Brandon,M,Continuing,"$2,898.00 "
202001,767854584,Kelsey,F,Continuing,
202001,705304024,Aaron,M,Continuing,
202001,204322122,Kyra,F,Continuing,
202001,257725062,Tamanna,F,Continuing,
202001,405065091,Raabia,F,Returning,"$5,395.00 "
202001,132804449,Miqdaad,M,Continuing,
202001,552692325,Kevin,M,Continuing,"$3,895.00 "
202001,565876753,Jacob,M,Continuing,
202001,490328946,Jeremy,M,Continuing,
202001,989536946,Mackenzie,F,Continuing,
202001,256364928,Jhaciel,M,Continuing,
202001,747538317,Jomelyn,F,Continuing,
202001,594408389,Muntasir,M,Continuing,
202001,863712167,Kau'Ihou,M,Continuing,
202001,180088109,Tatiyana,F,Continuing,"$5,895.00 "
202001,482354013,Jonathan,M,Continuing,
202001,263586975,Princella,F,Continuing,
202001,352415992,Macella,F,Continuing,
202001,720604565,Sydney,F,Continuing,
202001,481042535,Sumbula,F,Continuing,
202001,103856389,Jaime,M,Continuing,
202001,616520949,Destiny,F,Continuing,
202001,632489706,Sharaf,M,Continuing,
202001,148726654,Ella,F,Continuing,
202001,325402424,Kayla,F,Continuing,
202001,620355805,Jazzmine,F,Returning,
202001,160773461,Anna,F,Continuing,
202001,299554679,Blake,M,Returning,
202001,738839241,Brianna,F,Continuing,
202001,464542713,Mikayla,F,Returning,
202001,882896594,Judy,F,Continuing,
202001,356976787,Theresa,F,Continuing,
202001,284942745,Marc,M,Continuing,"$1,295.00 "
202001,930202079,Tahiyya,F,Continuing,
202001,150713305,David,M,Continuing,
202001,698088577,Alexis,M,Continuing,"$4,595.00 "
202001,860187685,Rikki,F,Continuing,
202001,504176588,Rabdaa,F,Continuing,
202001,225201819,Jessica,F,Continuing,
202001,569000444,Timothy,M,Continuing,
202001,560728415,Varell,M,Continuing,
202001,570564629,Uwais,M,Continuing,
202001,726312988,Eric,M,Continuing,$795.00 
202001,772494598,Cole,M,Continuing,
202001,138484388,Dang,M,Returning,
202001,966857347,Cristal,F,Continuing,
202001,653602487,Breanna,F,Continuing,
202001,669794278,Jalen,F,Continuing,
202001,433545936,Shaqeeqa,F,Continuing,
202001,692697069,Jendajia,F,Continuing,
202001,188939882,Hanaan,F,Continuing,"$2,895.00 "
202001,132889941,Shannon,F,Continuing,
202001,179621553,Ron,M,Continuing,
202001,842581098,Nicolas,M,Continuing,
202001,869331000,Gerardo,M,Continuing,
202001,830918849,Tawnie,F,Continuing,
202001,662339156,Lyndsey,F,Continuing,
202001,375270275,Trenda,F,Continuing,"$6,345.00 "
202001,990698170,Adriana,F,Continuing,
202001,424183936,Valeria,F,Continuing,
202001,191899030,Nada,F,Continuing,
202001,695323553,Karla,F,Continuing,"$3,195.00 "
202001,524157807,Sarah,F,Continuing,
202001,423321133,Zumruda,F,Continuing,
202001,121711896,Amy,F,Continuing,
202001,212135104,Taamir,M,Continuing,
202001,384034655,Fuaada,F,Continuing,
202001,885228805,Paige,F,Continuing,
202001,103080147,Jonathon Anthony,M,Continuing,"$6,345.00 "
202001,971301431,Wajdiyya,F,Continuing,
202001,739907749,Elias,M,Continuing,
202001,512872095,Keon Hee,M,Continuing,"$3,995.00 "
202001,506676655,Maleaque,M,Continuing,
202001,845372255,Gerald,M,Continuing,
202001,420504657,Gayatri,F,Continuing,
202001,563380354,Cade,M,Returning,"$3,495.00 "
202001,624896859,Georgina,F,Continuing,
202001,408423871,Tosha,F,Continuing,
202001,285077001,Jasmine,F,Continuing,
202001,837788849,Caroline,F,Continuing,"$6,345.00 "
202001,203754913,Amanda,F,Continuing,"$4,995.00 "
202001,516225771,Moja,M,Continuing,"$6,345.00 "
202001,823956537,Deshauna,F,Continuing,"$6,345.00 "
202001,477216704,Amanda,F,Continuing,
202001,724508235,Calista,F,Continuing,"$6,345.00 "
202001,307599873,Micah,M,Continuing,
202001,915732546,Haili,F,Continuing,
202001,429655882,Keenan,M,Continuing,
202001,568997668,Danielle,F,Continuing,"$6,345.00 "
202001,908752235,Jonathan,M,Continuing,"$1,095.00 "
202001,240741289,Kendall,F,Continuing,"$5,895.00 "
202001,791840184,Manuel,M,Continuing,"$3,795.00 "
202001,312728510,Althean,M,Continuing,"$5,595.00 "
202001,228437625,Jerron,M,Continuing,
202001,941234628,Fernando,M,Continuing,
202001,310456893,Angelo,M,Continuing,
202001,275871073,Elonca,F,Continuing,"$6,345.00 "
202001,570810028,Jewel,F,Returning,"$1,195.00 "
202001,283626221,Kiera,F,Continuing,
202001,117058982,Khulood,F,Continuing,
202001,643004904,Brandon,M,Continuing,
202001,592581906,Kanisha,F,Continuing,
202001,220129634,Thomas,M,Continuing,
202001,561175249,Jaasim,M,Continuing,
202001,710617580,Isaiah,M,Continuing,
202001,610370109,Kentorra,F,Continuing,
202001,620540369,Kyle,M,Continuing,
202001,325110611,Leonard,M,Continuing,
202001,498710805,Anna,F,Continuing,
202001,761403054,Jean,F,Continuing,
202001,284459260,Jacob,M,Continuing,
202001,699151395,Sabra,F,Continuing,
202001,271917220,John,M,Continuing,
202001,843526083,Kaitlyn,F,Continuing,
202001,820055780,Anjanetta,F,Continuing,
202001,375433215,Shaheera,F,Continuing,
202001,232273840,Marzooq,M,Continuing,
202001,751361325,Shaquille,M,Continuing,
202001,931032977,Devante,M,Continuing,
202001,956273674,Andrew,M,Continuing,
202001,381831288,Shonna,F,Continuing,
202001,999280979,Azailah,F,Continuing,
202001,164995812,Brianna,F,Continuing,
202001,184639015,Till,M,Continuing,
202001,800152347,Yvette,F,Continuing,
202001,787514859,Danielle,F,Continuing,
202001,247141991,Kara,F,Continuing,
202001,260565011,Jerhsain,M,Continuing,
202001,221923053,Alice,F,Continuing,
202001,228945078,Kessa,F,Continuing,
202001,490772951,Mujahid,M,Continuing,"$1,995.00 "
202001,212823143,Emma,F,Continuing,
202001,456437107,Morgan,M,Continuing,
202001,529690384,Kyle,M,Returning,"$6,345.00 "
202001,851992970,Lyzette,F,Continuing,
202001,903586727,Noah,M,Continuing,
202001,237377386,Angela,F,Continuing,
202001,197270653,Michael,M,Continuing,
202001,908982139,Kiache,F,Continuing,
202001,619394569,Billye,F,Continuing,
202001,937528162,Madison,F,Continuing,
202001,291333986,Kaelen,M,Continuing,
202001,655935348,Mariana,F,Continuing,
202001,686974745,Dominic,M,Continuing,
202001,229311794,Alberto,M,Continuing,
202001,113418458,Xin,M,Continuing,
202001,776733802,Kameela,F,Continuing,
202001,714867489,Christopher,M,Continuing,
202001,527846684,Shabeeba,F,Continuing,"$1,795.00 "
202001,437344752,Thaamira,F,Continuing,
202001,172567597,Jacey,F,Continuing,
202001,422427078,Serah,F,Continuing,
202001,981722715,Tania,F,Continuing,"$6,345.00 "
202001,380565773,Nathaniel,M,Continuing,
202001,234228388,Benjamin,M,Continuing,
202001,839508429,Domingo,M,Continuing,
202001,220099911,Erik,M,Continuing,
202001,717351878,Marilu,F,Continuing,
202001,689640382,Denzel,M,Continuing,"$6,345.00 "
202001,382767258,Tristan,M,Continuing,
202001,879475992,Zoe,F,Continuing,"$3,695.00 "
202001,973663685,Mario,M,Continuing,
202001,619603407,Deshay,M,Continuing,"$5,295.00 "
202001,719496445,Haley,F,Continuing,
202001,769583044,Guadalupe,F,Continuing,"$6,345.00 "
202001,544164093,Ariyya,F,Continuing,"$4,195.00 "
202001,917965612,Alexander,M,Continuing,
202001,873275647,Zaira,F,Continuing,"$6,345.00 "
202001,757122566,Megan,F,Continuing,
202001,872929820,Shay,F,Continuing,
202001,763850148,James,M,Continuing,"$3,395.00 "
202001,622344045,Kebremeskel,F,Continuing,"$6,345.00 "
202001,226674531,Phillip,M,Continuing,"$6,345.00 "
202001,944963734,Tara,F,Continuing,"$6,345.00 "
202001,792975408,Michael,M,Continuing,"$5,495.00 "
202001,286123661,Zubair,M,Continuing,"$6,345.00 "
202001,308660060,James,M,Continuing,
202001,837270929,Shafaaa,F,Continuing,"$6,345.00 "
202001,313520972,Maihao,F,Continuing,
202001,671325186,Reyana,F,Continuing,
202001,837141418,Alexander,M,Continuing,
202001,505703177,Iffat,F,Continuing,
202001,133239482,Rick,M,Continuing,
202001,690947327,Katelyn,F,Continuing,
202001,782129582,Ohitike,F,Continuing,
202001,513091953,Peter,M,Continuing,
202001,836156435,Esteban,M,Continuing,
202001,914726797,Danielle,F,Continuing,
202001,439784272,Danzig,F,Continuing,
202001,553412665,Jayda,F,Continuing,
202001,510247675,Kinza,F,Continuing,
202001,469882858,Addam,M,Continuing,
202001,498063919,Solomea,F,Continuing,
202001,540788207,Alana,F,Continuing,
202001,171776226,Moira,F,Continuing,
202001,638683385,Daniel,M,Continuing,
202001,266021723,Kathryn,F,Continuing,
202001,125195410,Taylor,F,Continuing,
202001,336527828,Victoria,F,Continuing,
202001,318855427,Shafaaa,F,Continuing,
202001,839037158,Khaira,F,Continuing,
202001,848785117,Yu,M,Continuing,
202001,436942081,Anne,F,Continuing,
202001,929530293,David,M,Continuing,
202001,896245299,Khaalida,F,Continuing,
202001,198554318,Kyle,M,Continuing,
202001,842492516,Miranda,F,Continuing,
202001,756136825,Brandon,M,Continuing,
202001,514063051,Selena,F,Continuing,
202001,110991874,Fidda,F,Continuing,
202001,586568348,Kamoni,M,Continuing,
202001,362993791,Awaatif,F,Continuing,"$1,895.00 "
202001,579605213,Jacey,F,Continuing,
202001,411981396,Caroline,F,Continuing,
202001,690875781,Paula,F,Continuing,
202001,588883494,Cheyenne,F,Continuing,
202001,700924534,Hakam,M,Continuing,
202001,947646604,Lorena,F,Continuing,
202001,917813113,Yaasmeena,F,Continuing,
202001,920433460,Ivy,F,Continuing,
202001,229667430,Sarah,F,Continuing,
202001,464408945,Henry,M,Continuing,
202001,206908687,Ronnie,M,Continuing,
202001,529585985,Bryson,M,Continuing,
202001,895673590,Faadil,M,Continuing,
202001,417733429,Troy,M,Continuing,
202001,184332769,Ryan,M,Continuing,
202001,774206353,Wendy,F,Continuing,
202001,472962765,Charlotte,F,Continuing,
202001,767535937,Shafeeq,M,Continuing,
202001,582204235,Riley,M,Continuing,
202001,674742961,Seth,M,Continuing,
202001,766102054,Mason,M,Continuing,
202001,647501687,Thomas,M,Continuing,
202001,353050018,Naseer,M,Continuing,
202001,987602685,Stephanie,F,Continuing,"$6,345.00 "
202001,408882403,Carmen,F,Continuing,
202001,486454079,Juan,M,Continuing,
202001,588693330,Nicole,F,Returning,
202001,826513492,Alyssa,F,Continuing,
202001,406598670,Shaun,F,Continuing,
202001,100481597,Joey,M,Continuing,
202001,128074000,D'Angelo,M,Continuing,
202001,527652601,Isabella,F,Continuing,
202001,187530127,Kelli,F,Continuing,
202001,636251348,Maria,F,Continuing,
202001,145280163,Mahdhoodha,F,Continuing,"$1,695.00 "
202001,848084009,Trachai,F,Continuing,
202001,100627790,James,M,Continuing,
202001,457400117,Aadil,M,Continuing,
202001,748557943,Abigail,F,Continuing,"$6,345.00 "
202001,420535768,Samuel,M,Continuing,
202001,861377812,Armando,M,Continuing,
202001,872904596,Olivia,F,Continuing,
202001,351585725,Tawfeeqa,F,Continuing,
202001,481238557,Nadeera,F,Continuing,
202001,215248986,Avery,M,Continuing,
202001,873732212,Davonte,M,Continuing,
202001,312369699,Rushdi,M,Continuing,
202001,480551654,Lisa,F,Continuing,
202001,241603685,Julian,M,Continuing,
202001,545371065,Kaitlin,F,Continuing,
202001,847239938,Megan,F,Continuing,
202001,318025090,Erick,M,Continuing,
202001,841490061,Gwynneisha,F,Continuing,
202001,711892777,Haleigh,F,Continuing,
202001,764900716,Ricky,M,Continuing,
202001,491032701,Abdur Raheem,M,Continuing,
202001,592389221,Lillian,F,Continuing,
202001,485519211,Jeremiah,M,Continuing,
202001,431943861,Trevor,M,Continuing,
202001,269992020,Sadie,F,Continuing,
202001,385145050,Brigitte,F,Continuing,
202001,539745956,Joshua,M,Continuing,
202001,861973883,Brittney,F,Continuing,"$5,895.00 "
202001,649744166,Yesica,F,Continuing,
202001,141434392,Raabiya,F,Continuing,"$3,148.00 "
202001,615700637,Julianna,F,Continuing,
202001,196500014,Kanaan,M,Continuing,
202001,558955510,Devon,M,Continuing,"$2,795.00 "
202001,174846702,Joshua,M,Continuing,"$6,345.00 "
202001,556979491,Zaahid,M,Continuing,
202001,961587182,Juventino,M,Continuing,
202001,770444339,Asad,M,Continuing,
202001,250441184,Justin,M,Continuing,
202001,903369779,Trey,M,Continuing,
202001,751587323,Hujja,F,Continuing,
202001,251737462,Anwar,M,Continuing,
202001,168545526,Airiel,F,Continuing,
202001,771002467,Lasamoa,F,Continuing,"$1,595.00 "
202001,265399245,Tiffany,F,Continuing,
202001,366693735,Jasmine,F,Continuing,
202001,689514737,Miranda,F,Continuing,
202001,335647888,Raven,F,Continuing,
202001,245438237,Liza,F,Continuing,
202001,797076012,Samantha,F,Continuing,
202001,185640840,Lucero,F,Continuing,
202001,784471662,Sam,M,Continuing,"$3,795.00 "
202001,904003465,Mahmooda,F,Continuing,
202001,446943859,Gregory,M,Continuing,
202001,923408075,Scott,M,Continuing,
202001,195492213,Regine,F,Continuing,
202001,655178216,Jason,M,Continuing,
202001,415297484,Shuraih,M,Continuing,"$6,295.00 "
202001,854967457,Maisara,M,Continuing,"$1,995.00 "
202001,251798576,Carlos,M,Continuing,
202001,228706544,Mariah,F,Continuing,
202001,606365776,Nicholas,M,Continuing,
202001,144783742,Khadija,F,Continuing,
202001,192669982,Chasity,F,Continuing,
202001,732675658,Daniel,M,Continuing,
202001,958532424,Jessica,F,Continuing,
202001,945644684,Nicole,F,Continuing,
202001,803804613,Dustin,M,Continuing,
202001,694143058,Abdul Haleem,M,Continuing,
202001,180747327,Lois,F,Continuing,
202001,628794456,Samantha,F,Continuing,
202001,670960214,Andrea,F,Continuing,
202001,720042333,Rhemedio,M,Continuing,"$6,345.00 "
202001,193675396,Ramzi,M,Continuing,
202001,868632767,Michael,M,Continuing,
202001,431039520,Hishaam,M,Continuing,
202001,994974348,Melissa,F,Continuing,
202001,756372234,Tia,F,Continuing,
202001,999215034,Christopher,M,Continuing,
202001,462905697,Naasif,M,Continuing,
202001,606169402,Koineanoah,F,Continuing,
202001,729566355,Warda,F,Continuing,
202001,339992338,Nicholas,M,Continuing,
202001,918041525,Andy,M,Continuing,
202001,736608713,Albert,M,Continuing,
202001,385180587,Jason,M,Continuing,
202001,528857168,Robert,M,Continuing,
202001,748446061,Siedah,F,Continuing,
202001,834660596,Sean,M,Continuing,
202001,531908659,Dominique,M,Continuing,
202001,592886544,Dominic,M,Continuing,
202001,868535736,Nestor,M,Continuing,
202001,164253599,Arhab,M,Continuing,
202001,488430694,Alaina,F,Continuing,
202001,783088687,Isaac,M,Continuing,
202001,686042020,Stephanie,F,Continuing,"$3,595.00 "
202001,160850350,Wajdiyya,F,Continuing,
202001,998340797,Kathryn,F,Continuing,
202001,170800236,Ian,M,Continuing,
202001,576852055,Haajara,F,Continuing,
202001,622287331,Kestral,F,Continuing,
202001,979963557,Stephany,F,Continuing,
202001,713355561,Dedrick,M,Continuing,
202001,840960468,Jessica,F,Continuing,
202001,181897208,Collin,M,Continuing,
202001,580184037,David,M,Continuing,
202001,751541918,Jake,M,Continuing,
202001,834920103,Maile,F,Continuing,
202001,643769106,William,M,Continuing,
202001,549548825,Willie,M,Continuing,
202001,687982915,Sumaita,F,Continuing,
202001,988969413,Makayla,F,Continuing,
202001,281608347,Tashina,F,Continuing,
202001,892311651,Felisha,F,Continuing,
202001,638283472,Shaina,F,Continuing,
202001,334520302,Rosalia,F,Continuing,
202001,344908144,Deanna,F,Continuing,
202001,388820491,Paul,M,Continuing,
202001,711727153,James,M,Continuing,
202001,476023571,Glen,M,Continuing,
202001,912938033,Barcley,M,Continuing,
202001,323046422,Anthony,M,Continuing,
202001,748741000,Ignacio,M,Continuing,
202001,805858973,Kristianna,F,Continuing,
202001,225171475,Stephanie,F,Continuing,
202001,600611776,Sydney,F,Continuing,
202001,172270679,Marcela,F,Continuing,
202001,831877387,Alexia,F,Continuing,
202001,934484371,Jameel,M,Continuing,
202001,378476433,Jacob,M,Continuing,"$5,995.00 "
202001,713342764,Gabrielle,F,Continuing,
202001,411255293,Dulce,F,Continuing,
202001,158965628,Martha,F,Continuing,
202001,265633274,Tony,M,Continuing,
202001,731332130,Brandon,M,Continuing,
202001,422441367,Elissa,F,Continuing,
202001,726632336,Samantha,F,Continuing,
202001,399758719,Andrew,M,Continuing,
202001,927384503,Muzaina,F,Continuing,
202001,822519429,Jessell,F,Continuing,
202001,303980133,Heather,F,Continuing,
202001,902308279,Dewyone,M,Continuing,
202001,760099979,Nevin,M,Continuing,
202001,785135591,Hayden,M,Continuing,
202001,972824541,Max,M,Continuing,
202001,602781850,Raechalle,F,Continuing,
202001,661290861,Desiree,F,Continuing,
202001,692217428,Habeeba,F,Continuing,
202001,219285002,Kaalim,M,Continuing,
202001,984581378,Justin,M,Continuing,
202001,402682346,Alejandra,F,Continuing,
202001,172934966,Dustin,M,Continuing,
202001,178786866,Katherine,F,Continuing,
202001,983092097,Monique,F,Continuing,
202001,331049327,Dylan,M,Continuing,
202001,175960761,Davis,M,Continuing,
202001,927069108,Kira,F,Continuing,
202001,102691348,Kenneth,M,Continuing,
202001,827314877,Chad,M,Continuing,"$6,345.00 "
202001,833125622,David,M,Continuing,"$5,995.00 "
202001,450888011,David,M,Returning,
202001,722382830,Isaiah,M,Continuing,
202001,435858981,Elisha,M,Continuing,
202001,357469310,Alexis,F,Continuing,"$1,395.00 "
202001,568412278,Leonard,M,Continuing,
202001,112908629,Ashleigh,F,Continuing,
202001,880054367,Hannah,F,Continuing,
202001,186444954,Jordan,F,Continuing,
202001,354764127,Valeria,F,Continuing,
202001,559246991,Malinda,F,Continuing,
202001,170549077,Don Shae,M,Continuing,
202001,173439536,Martha,F,Continuing,
202001,276976888,Justin,M,Continuing,"$5,895.00 "
202001,504087180,Samaiyah,F,Continuing,
202001,463208017,David,M,Continuing,
202001,361979046,Genasee,F,Continuing,
202001,427193108,Sonny,M,Continuing,
